Repet,Treatment,Response
1,A,50.02
2,A,48.84
3,A,49.63
4,A,50.34
5,A,50.03
6,A,48.46
7,A,49.99
8,A,49.82
9,A,50.05
10,A,51.12
1,B,58.67
2,B,59.72
3,B,60.78
4,B,60.93
5,B,61.39
6,B,63.85
7,B,62.83
8,B,61.48
9,B,59.49
10,B,60.23
1,C,73.57
2,C,74.72
3,C,71.69
4,C,70.02
5,C,70.2
6,C,70.24
7,C,68.81
8,C,75.46
9,C,72.65
10,C,70.51
1,D,40.13
2,D,40.16
3,D,38.74
4,D,38.68
5,D,39.32
6,D,42.71
7,D,37.77
8,D,41.02
9,D,38.29
10,D,40.65
1,E,30.29
2,E,29.23
3,E,29.39
4,E,29.39
5,E,29.21
6,E,29.93
7,E,30.7
8,E,31.03
9,E,30.56
10,E,30.27
